model,module,layer,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
ft_from_500,gating_einsum,3,0.133405854934,1.899077916026,81.210614665787,46.316789118396
ft_from_500,gating_einsum,4,0.122024209897,1.902513841150,81.604766737044,46.761620303581
ft_from_500,gating_einsum,5,0.122700842363,1.891487187418,81.726003116341,47.161086828691
ft_from_500,gating_einsum,6,0.116049725474,1.889995266375,82.133107363190,47.640622059877
ft_from_500,gating_einsum,7,0.121734305756,1.876720374868,82.274131143950,47.987279468718
ft_from_500,gating_einsum,8,0.121868503574,1.865173209699,82.758767799565,48.652404183159
ft_from_500,gating_einsum,9,0.119852647233,1.861048306028,82.946436486132,48.965521939775
ft_from_500,gating_einsum,10,0.119108618922,1.856173867596,83.568338994824,49.524628697896
ft_from_500,gating_einsum,11,0.121587737276,1.838114558122,83.044122113128,49.766796607872
ft_from_500,gating_einsum,12,0.138103469305,1.809456578262,82.049397018445,49.653574089677
ft_from_500,gating_einsum,13,0.145588870694,1.784231833788,80.694920800235,49.493784569796
ft_from_500,gating_einsum,14,0.122299569144,1.826415418913,74.648585667165,45.090846226815
ft_from_500,gating_einsum,15,0.136715574005,1.815549378003,74.159998160835,44.723229643875
ft_from_500,gating_einsum,16,0.179469173430,1.739560287551,47.027911698606,29.134972125942
ft_from_500,gating_einsum,17,0.556310848267,1.699028193368,24.207105814125,11.876347808156
ft_from_500,linear,0,0.170257549988,1.735470139590,45.222530983781,28.284610343652
ft_from_500,linear,1,0.158844652407,1.693410555175,50.161734369169,32.685870489082
ft_from_500,linear,2,0.141255644984,1.714552745054,49.639770545504,32.210012029747
ft_from_500,linear,3,0.142787710852,1.705883806689,51.231165775836,33.436646940752
ft_from_500,linear,4,0.134863617455,1.710488410805,51.658429018929,33.783047009370
ft_from_500,linear,5,0.129902030930,1.714626554519,51.817689290449,33.895121436728
ft_from_500,linear,6,0.126855620377,1.713464348813,52.160865334613,34.225968062512
ft_from_500,linear,7,0.125963780845,1.710748955149,52.360901347978,34.454532224880
ft_from_500,linear,8,0.128430984471,1.702256068888,52.753341038949,34.890551199912
ft_from_500,linear,9,0.127969935638,1.697865795619,52.721519781455,35.006319194336
ft_from_500,linear,10,0.127165264914,1.695699230488,52.872794470071,35.189698901436
ft_from_500,linear,11,0.128979248917,1.690221698153,52.196525765833,34.850369608186
ft_from_500,linear,12,0.154690916199,1.675318844501,51.952798034578,34.458406186311
ft_from_500,linear,13,0.178353565949,1.655275956745,47.485721873546,31.459498475218
ft_from_500,linear,14,0.148725262435,1.676764415516,45.735334595693,30.432369320094
ft_from_500,linear,15,0.206985823153,1.612294343674,39.688230747116,26.662836135188
ft_from_500,linear,16,0.224564889378,1.626349179851,26.489111449069,17.351068536952
ft_from_500,linear,17,0.504650486431,1.747118208510,12.125866117806,5.992335420307
