module,layer,task,r_in_2task_mean,r_in_4task_mean,drop_r,cos_with_2task_mean,cos_with_4task_mean,norm_ratio_2task_mean,norm_ratio_4task_mean
gating_einsum,16,libero_object,0.078690785594,0.307774012059,0.229083226465,0.112581123459,0.568487215336,0.698969624535,0.541391263966
gating_einsum,16,libero_goal,0.084330769640,0.311521441925,0.227190672285,0.117724190419,0.561454610125,0.716341894895,0.554847063872
gating_einsum,17,libero_10,0.692392394914,0.534294754358,-0.158097640555,0.811364989525,0.711928606496,0.853367354831,0.750489233728
gating_einsum,17,libero_spatial,0.668267277664,0.518589019555,-0.149678258110,0.837352433989,0.738878393007,0.798071696623,0.701859770787
gating_einsum,17,libero_object,0.376137774986,0.525905325225,0.149767550239,0.452529718705,0.719447787896,0.831189111873,0.730984699756
gating_einsum,17,libero_goal,0.361069728378,0.513793446291,0.152723717913,0.446184095560,0.721943358336,0.809239352033,0.711681104007
linear,0,libero_10,0.519168187756,0.279959298326,-0.239208889430,0.732934374803,0.543847363384,0.708341982043,0.514775499846
linear,0,libero_spatial,0.520603849503,0.283848289552,-0.236755559951,0.708893077854,0.531844601683,0.734389805411,0.533705312894
linear,0,libero_object,0.049829796551,0.286290752175,0.236460955624,0.065006440004,0.513924949699,0.766536308519,0.557067237818
linear,0,libero_goal,0.043623938451,0.281899126390,0.238275187939,0.060436561878,0.537395124016,0.721813701768,0.524565843254
linear,1,libero_10,0.514284699086,0.272673658855,-0.241611040232,0.721050665648,0.526585525721,0.713243498117,0.517814572440
linear,1,libero_spatial,0.514610119720,0.273542481300,-0.241067638420,0.713426376242,0.522347083957,0.721321970783,0.523679541250
linear,1,libero_object,0.032697505251,0.273970851174,0.241273345924,0.044906393459,0.518276444932,0.728125835370,0.528619144963
linear,1,libero_goal,0.031887921188,0.273361958205,0.241474037017,0.044392918980,0.524190473805,0.718310981121,0.521493563629
linear,2,libero_10,0.517037026646,0.276245148613,-0.240791878033,0.724685602051,0.530538127742,0.713463914810,0.520688587998
linear,2,libero_spatial,0.517600690077,0.278580936083,-0.239019753994,0.713764407453,0.526387281716,0.725170216772,0.529231890207
linear,2,libero_object,0.038239644534,0.278102933834,0.239863289300,0.052479987973,0.522973164066,0.728651930201,0.531772857467
linear,2,libero_goal,0.037876777306,0.277734706020,0.239857928714,0.052531022290,0.527797025390,0.721036363934,0.526214989208
linear,3,libero_10,0.517589202061,0.277365915935,-0.240223286125,0.723035930249,0.529721422645,0.715855437340,0.523607134011
linear,3,libero_spatial,0.517958441620,0.278686593743,-0.239271847877,0.716074705278,0.526743600217,0.723330174635,0.529074474997
linear,3,libero_object,0.038751873272,0.278454869142,0.239702995870,0.053376558005,0.524363499318,0.726009220529,0.531034043186
linear,3,libero_goal,0.038416886693,0.278115283576,0.239698396883,0.053423900522,0.528759343961,0.719095504401,0.525977056959
linear,4,libero_10,0.516708174124,0.275858117431,-0.240850056694,0.723331475817,0.528950004019,0.714344932301,0.521520210483
linear,4,libero_spatial,0.517148513082,0.277290433406,-0.239858079676,0.714592697823,0.524825592831,0.723696890071,0.528347773420
linear,4,libero_object,0.037088473864,0.276967967590,0.239879493727,0.051118325117,0.522882397260,0.725541648292,0.529694571937
linear,4,libero_goal,0.035886869160,0.276191976782,0.240305107622,0.049984673510,0.526925445829,0.717957458557,0.524157599464
linear,5,libero_10,0.516612112529,0.275960239771,-0.240651872758,0.722262498507,0.528144091823,0.715269190352,0.522509375838
